DYE,LINEN,DYE,WILD,KNOT
SHUTTLE,DYE,KNOT,SHUTTLE,MOTH
DYE,LINEN,CROWN,KNOT,KNOT
SHUTTLE,WILD,SHUTTLE,MOTH,KNOT
KNOT,DYE,KNOT,DYE,LINEN
DYE,KNOT,LINEN,KNOT,KNOT
KNOT,LINEN,LINEN,LINEN,DYE
MOTH,KNOT,KNOT,MOTH,SHUTTLE
KNOT,SHUTTLE,WILD,WILD,DYE
SHUTTLE,LINEN,LINEN,LINEN,SHUTTLE
CROWN,LINEN,DYE,KNOT,KNOT
MOTH,SHUTTLE,SHUTTLE,MOTH,MOTH
KNOT,CROWN,SHUTTLE,SHUTTLE,DYE
LINEN,MOTH,DYE,DYE,CROWN
CROWN,DYE,SHUTTLE,CROWN,CROWN
LINEN,LINEN,WILD,CROWN,LINEN
KNOT,KNOT,LINEN,LINEN,MOTH
KNOT,KNOT,MOTH,SHUTTLE,SHUTTLE
LINEN,MOTH,CROWN,SPARK,CROWN
SHUTTLE,DYE,LINEN,KNOT,SHUTTLE
KNOT,KNOT,SHUTTLE,SHUTTLE,KNOT
MOTH,DYE,MOTH,KNOT,KNOT
KNOT,WILD,LINEN,SHUTTLE,DYE
KNOT,MOTH,MOTH,MOTH,WILD
LINEN,KNOT,KNOT,KNOT,SHUTTLE
MOTH,WILD,KNOT,LINEN,KNOT
DYE,KNOT,MOTH,DYE,DYE
LINEN,KNOT,KNOT,SPARK,SHUTTLE
DYE,CROWN,DYE,KNOT,DYE
LINEN,SHUTTLE,WILD,KNOT,LINEN
CROWN,KNOT,KNOT,LINEN,LINEN
SHUTTLE,DYE,CROWN,CROWN,KNOT
KNOT,SHUTTLE,KNOT,DYE,LINEN
KNOT,CROWN,DYE,KNOT,WILD
DYE,LINEN,KNOT,KNOT,SPARK
LINEN,SPARK,SPARK,WILD,LINEN
KNOT,SHUTTLE,DYE,LINEN,WILD
LINEN,MOTH,CROWN,DYE,KNOT
KNOT,SPARK,LINEN,DYE,LINEN
SPARK,KNOT,KNOT,MOTH,MOTH
